Reference; Value; Footprint; Datasheet; Package; Description; MF; Price; Availability
U2;H11AA1M;mini_monitron:DIP-6_W7.62mm;H11AA1M;DIP-6 Fairchild Semiconductor;DIP-6 Through Hole Single Channel 30 V 4170 Vrms Phototransistor Optocoupler;Fairchild Semiconductor;0.32 USD;Good
U3;MCP2551-I/SN;mini_monitron:DIP-8_W7.62mm;;;;;;
S1;Switch_5xDIP;mini_monitron:DIP-10_W7.62mm;;;;;;
R1;1k;mini_monitron:R_0805_HandSoldering;;;;;;
R2;1k;mini_monitron:R_0805_HandSoldering;;;;;;
R3;1k;mini_monitron:R_0805_HandSoldering;;;;;;
R4;1k;mini_monitron:R_0805_HandSoldering;;;;;;
R5;1k;mini_monitron:R_0805_HandSoldering;;;;;;
R8;1k;mini_monitron:R_0805_HandSoldering;;;;;;
C4;0.1uf;mini_monitron:C_0805_HandSoldering;;;;;;
C5;0.1uf;mini_monitron:C_0805_HandSoldering;;;;;;
C7;0.1uf;mini_monitron:C_0805_HandSoldering;;;;;;
C9;0.1uf;mini_monitron:C_0805_HandSoldering;;;;;;
R6;1k;mini_monitron:R_0805_HandSoldering;;;;;;
R7;1k;mini_monitron:R_0805_HandSoldering;;;;;;
J1;CONN_01X02;mini_monitron:bornier2;;;;;;
P1;conn2x18pcie;mini_monitron:pci-x_conn-x1_Vertical;;;;;;
J2;CONN_02X20;mini_monitron:Pin_Header_Straight_2x20_Pitch2.54mm;;;;;;
J3;CONN_02X20;mini_monitron:Pin_Header_Straight_2x20_Pitch2.54mm;;;;;;
U1;PCF2129AT;mini_monitron:SOIC-20W_7.5x12.8mm_Pitch1.27mm;;;;;;
B1;Battery_Holder_CR1220;mini_monitron:Keystone_CR1220_SMD;;;;;;
C2;0.1uF;mini_monitron:C_0805_HandSoldering;;;;;;
C1;0.1uF;mini_monitron:C_0805_HandSoldering;;;;;;
C3;0.1uF;mini_monitron:C_0805_HandSoldering;;;;;;
U4;AXB050X43-SRZ;mini_monitron:AXB050X43-SRZ;;;;;;
R11;4.3k;mini_monitron:R_0805_HandSoldering;;;;;;
U5;LM1084IT-ADJ/NOPB;mini_monitron:TO-220_Horizontal;;;;;;
R10;100;mini_monitron:R_0805_HandSoldering;;;;;;
R9;300;mini_monitron:R_0805_HandSoldering;;;;;;
C10;10uF;mini_monitron:C_0805_HandSoldering;;;;;;
C8;10uF;mini_monitron:C_0805_HandSoldering;;;;;;
C11;10uF;mini_monitron:C_0805_HandSoldering;;;;;;
C6;10uF;mini_monitron:C_0805_HandSoldering;;;;;;
J8;CONN_01X02;mini_monitron:bornier2;;;;;;
J9;CONN_01X02;mini_monitron:bornier2;;;;;;
J10;CONN_01X02;mini_monitron:bornier2;;;;;;
J4;CONN_01X02;mini_monitron:bornier2;;;;;;
J5;CONN_01X02;mini_monitron:bornier2;;;;;;
J6;CONN_01X02;mini_monitron:bornier2;;;;;;
HS1;HEATSINK;mini_monitron:HeatSink_TO220_Vertical_1PP;;;;;;
J7;CONN_01X02;mini_monitron:bornier2;;;;;;
